Vietnamese, Bahnar
"Hỡi con ta, hãy kính sợ CHÚA và vua;",Ơ dăm hli yom bĕ kơ Kră Yang păng chu yom kơ pơtao;
Chớ giao kết với những kẻ phản loạn,'Nĕ pơgơ̆p hơdai hăm lu bơngai pơm kơnê̆
Vì ai biết được sự hủy hoại mà hai đấng kia có thể đem đến,Yua kơ blư đei tơdrong kơnê̆ truh hloi tơ lu sư
Vì tai họa sẽ thình lình đến trên chúng,Bu băt lê̆ tơdrong truh kơ bơngai âu dah bơngai to
Đây cũng là những lời của người khôn ngoan:,Nơ̆r 'nâu gơh đei lĕch đơ̆ng bơngai hơgei pơma;
Xét đoán thiên vị là điều không tốt,Sek tơlang 'nĕ kơ mơ̆t minh pah ưh kơ 'lơ̆ng
"Người nào nói với kẻ gian ác rằng: ngươi là công chính,","Bu khan kơ bơngai pơm kơnê̆ ih huay kơ yoch ôh,"
Sẽ bị dân chúng rủa sả và các nước ghê tởm,"Kon pơlei gô blei hiap, bơngai lăm teh đak hil areh kơ sư"
"Nhưng người quở trách kẻ ác sẽ được dân chúng vui lòng,",Mă-lei bơngai bu chrih kơ bơngai pơm yoch đei chơt hiôk
Và phúc lành sẽ đến trên người,Tơdrong pŭn hiôk truh tơ lu sư
Đừng làm chứng vô cớ nghịch cùng người láng giềng con;,'Nĕ chă pơm tơdrong kơđei oei sa kơnê̆ hăm rông 'bôt ih;
Chớ dùng môi miệng để lường gạt,'Nĕ yua 'bơ̆r nơ̆r pơma pơhlŭ hơlĕnh
Chớ nói rằng: tôi sẽ làm cho nó như nó đã làm cho tôi;,'Nĕ chă pơma: Inh gô pơm kơ sư thoi sư pơm kơ inh;
Tôi sẽ báo trả cho mỗi người tùy theo điều nó làm,Inh gô pơm 'mong kiơ̆ tơdrong đêl sư pơm
"Tôi đi ngang qua đồng ruộng của người biếng nhác,","Inh rok boih trong mir bơngai hơlah,"
Qua vườn nho của kẻ vô tâm,Păng lăng boih pơgar hơmu bơngai kơwao
Ta nhìn và để tâm suy nghĩ;,Inh lăng păng hơlen tơ noh
Ta thấy và nhận được bài học,'Bôh hŏk iŏk pơhrăm
Khoanh tay nằm nghỉ một chút,Kuăr ti 'biơ̆
"Thế là sự nghèo khó của ngươi sẽ đến như kẻ cướp bóc,",Lei tơdrong dơnuh gô truh kơ ih thoi bơngai ayăt
Và sự thiếu thốn của ngươi sẽ ập đến như người lính nơi chiến trận,Păng tơdrong kơ'bah gô truh thoi bơngai chĕp tơmam tơblah oei tơblah
"Giữ một điều gì huyền bí là vinh quang của Đức Chúa Trời,","Lăm tơdrong kiơ oei hlơp, noh boih tơdrong ư-ang kơ Kră Yang 'Bok Kei-Dei"
Nhưng vinh quang của một vua là tìm ra một điều gì,Tơdrong lu pơtao chơchă wă kơ băt noh tơdrong ư-ang kơ lu sư
Lấy cặn bã ra khỏi bạc,Iŏk lê̆ bĕ ĭch hu
Thì thợ bạc sẽ có vật liệu tốt,Na lu bơngai tuh hling jing đei tơmam gĭt
Hãy loại những kẻ gian ác khỏi trước mặt vua,Iŏk lê̆ lu bơngai pơm kơnê̆ đơ̆ng anăp pơtao
Thì ngôi vua sẽ được thiết lập trong sự công chính,Na tang-dŏ pơtao pơjing kơjăp 'lơ̆ng tơpăt
Đừng tự tôn trước mặt vua;,"'Nĕ kơ pơư ih kơdih 'bơ̆t anăp pơtao,"
Chớ đứng trong địa vị của bậc tôn trọng,Dah hơ-oei 'bơ̆t anih lu đe ư-ang
Vì thà để cho người bảo con: mời lên đây;,"'Lơ̆ng hloh đe khan: Apinh ih, tŏk tơ âu"
Tốt hơn là bị người hạ con xuống thấp trước mặt một người quyền quý,Noh hloh kơ sư tơjur ih 'bơ̆t anăp lu yŏng pơgơ̆r
"Điều gì mắt con thấy,","Tơdrong kiơ măt ih 'bôh boih,"
"Đừng vội đi đến tranh tụng ngay,",'Nĕ kơ hăt tơbăt kơ 'bok sek tơlang
"E rằng, khi kẻ láng giềng con làm con xấu hổ;","Kơnh, kon pơlei oei jê̆ ih lu sư 'bôh plơ̆ng gô pơm kơ ih mơlâu"
Rốt cuộc con sẽ làm gì,'Nâu tuch-luch ih wă pơm liơ
"Hãy thuyết phục người láng giềng con,",Tơdah ih pơjah chă lăp hăm lu bơngai rông 'bôt ih
Nhưng đừng tiết lộ bí mật của người khác,Ih 'nĕ roi pơdah tơdrong hlơp bơngai nai
"E rằng người nghe điều ấy sẽ trách con,",Hli kơ đe mơ̆ng tơdrong noh hơloh chrih kơ ih
Và danh tiếng con sẽ không lấy lại được,Đe ang tơdrong jang kơnê̆ ưh kơ sŭt đĭ
"Lời nói đúng lúc,","Nơ̆r pơma trŏ lăp noh,"
Khác nào trái táo vàng để trên đĩa bạc,Thoi plei hơra 'maih dan kơpal pơnhan hu
"Lời quở trách khôn ngoan cho lỗ tai biết nghe,",Bơngai hơgei chrih kơ đon bơngai oei mơ̆ng
Giống như nhẫn vàng hay đồ trang sức bằng vàng,"Thoi gŏp maih, tơmam đe pơguăng păng maih ling"
"Một sứ giả trung thành với người sai phái,",Bơngai đe wơh tơnăp hăm yŏng sư
"Khác nào tuyết mát mẻ trong mùa gặt,",Thoi 'mui prĕl rơngơp bơyan yuă 'ba
Vì người làm chủ mình hài lòng,Yua kơ pơm kơ bơhngol yŏng tơ'ngla sư hiôk
"Một người khoe khoang về những món quà mình không tặng,","Bơngai bu pơkă wă ăn tơmam, Mă-lei ưh kơ đei ăn"
Giống như có mây và gió nhưng không có mưa,Thoi hơmơ̆l 'mi đei kial jor kơ 'mi dơ̆ng
"Nhờ nhẫn nhịn mới thuyết phục được người cai trị,",Đơ̆ng adrin chơ̆n na gơh pơtơm bơngai pơm yŏng pơgơ̆r chu
Lưỡi mềm mại bẻ gẫy xương cốt,Hơpiĕt pơma huăt rơdu lu kơting 'bônh kơ tơgơ̆
"Nếu con tìm được mật ong, chỉ ăn vừa đủ thôi;",Tơdah ih 'bôh đak sut sa sư lăp ai;
Kẻo ăn nhiều quá con sẽ mửa,Sa lơ 'bơ'blut kơnh ih hăk lê̆
"Chân con chớ thường xuyên đến nhà người láng giềng,","'Nĕ gan năm ngôi tơ hnam bôl buăl ih,"
E rằng người sẽ chán và ghét con,Kơnh hli kơ sư bơ̆l hăl băl lap hil plơ̆ kơ ih
"Một người làm chứng dối nghịch kẻ láng giềng,",Bơngai chă hơlĕnh sơlam kơ rông 'bôt sư
"Khác nào một cây côn, một lưỡi gươm hay mũi tên nhọn","Bơngai noh thoi 'long băl, thoi đao gưm, dah thoi 'brơ̆m suĕng"
"Tin cậy một kẻ bất trung trong ngày hoạn nạn,",Lui ngeh kơ bơngai hơlĕnh pơdăr năr đei tơdrong pơmat
Giống như nhai với răng đau hay đi với chân bại,"Thoi kơkă hăm hơnĕnh tơgơ̆, thoi yak hăm jơ̆ng tơplơ̆ tơpling"
"Ca hát cho người có lòng buồn thảm,",Bu hơri kơ đe năr đe ơh sơ'ngon
"Khác nào cởi áo trong ngày băng giá,",Thoi plôh ao hơ'bơ̆l năr tơngiĕt
Đổ giấm vào nước xô-đa,Thoi tuh đak iŭ tơ đak Sôđa
"Nếu kẻ thù con đói, hãy cho nó bánh ăn;",Tơdah bơngai ayăt kơ ih pơngot ăn kơ sư sŏng sa
"Nếu khát, hãy cho nó nước uống","Tơdah rơhing kơ đak, ăn kơ sư nhă"
"Vì như thế con sẽ chất than lửa đỏ trên đầu nó,","Thoi ih dan ngar ngŭr kơpal kơ̆l sư,"
Và CHÚA sẽ thưởng cho con,Thoi ei lei na Kră Yang gô apah bơnê kơ ih
Gió bắc đem lại mưa;,Kial đơ̆ng yă-nơ̆m ba đak 'mi
Còn lưỡi nói hành làm cho mặt giận,Hơpiĕt ayơ roi sa pơma krŭl pơm kơ đe blĕk
"Tin mừng đến từ phương xa,",Tơdrong 'nao tơbăt 'lơ̆ng truh đơ̆ng char ataih
Giống như nước mát mẻ cho linh hồn đang khao khát,Thoi đak rơngơp pơchhơp bơngai rơhing
"Người công chính mà khuất phục theo kẻ gian tà,",Bơngai tơpăt huŏng lăm bơngai pơm kơnê̆ pơhlŭ
"Giống như con suối bị khuấy đục, nguồn nước bị dơ bẩn","Thoi đak sơlŭng gơsŏk đĭ, thoi đak mơlĕch mơgrĭ boih"
Ăn nhiều mật ong quá không tốt;,Sa đak sut lơ hnang ưh kơ 'lơ̆ng
Tìm kiếm nhiều vinh hiển quá cũng vậy,Bơngai pơrơ̆ng chă wă kơ đe ư-ang kư̆m lei-lăi
"Một người thiếu tự chủ,",Bơngai bu ưh kơ băt pơgơ̆r jơhngơ̆m sư kơdih
Giống như một cái thành bị bỏ ngõ vì không có tường,Bơngai noh thoi minh pôm pơlei tih dur đĭ păk
"Sự vinh hiển không thích hợp cho kẻ ngu dại,",Tơdrong pơyom ưh kơ lăp hăm lu bơngai bơlŭk
"Như tuyết giữa mùa hè, như mưa trong mùa gặt","Thoi prĕl bơyan phang, thoi 'mi bơyan kĕch"
"Roi dành cho ngựa, hàm thiếc dùng cho lừa","Tơnguĕt yua teh aseh, dam pơhơ̆p ăn aseh iĕ"
Và roi vọt dành cho lưng kẻ ngu dại,'Long băl 'măn kơ teh rŏng lu bơngai kơtul
Đừng trả lời kẻ ngu dại theo như sự ngu dại của nó;,'Nĕ tơl tơwih 'bih bơngai kơwao thoi tơdrong kơtul sư
E rằng con cũng như nó chăng,Hli kơ ih jing nhen ten thoi sư
"Trả lời kẻ ngu dại tùy theo sự ngu dại của nó,",'Nĕ tơl tơwih kơ bơngai kơwao thoi tơdrong kơtul sư
Kẻo nó tưởng mình khôn ngoan theo mắt mình,Kơnh sư khan sư bơngai hơgei đei đon hlôh wao
"Ai nhờ kẻ ngu dại đem tin tức,",Bu gơnang kơ bơngai kơwao năm roi tơbăt kơ đe
Giống như tự chặt chân hay nuốt lấy điều hung dữ,Thoi koh lê̆ jơ̆ng chơ̆ng lê̆ blu sư kơdih păng huch iŏk tơdrong răm
"Châm ngôn trong miệng kẻ ngu dại,",Nơ̆r pơđơ̆k lăm 'bơ̆r lu bơngai kơtul kơwao
Cũng như chân bại vô dụng của người què,Kŭm thoi jơ̆ng bơngai jo ưh kơ gơh yak
"Ban vinh dự cho kẻ ngu dại,",Pơyom kơ bơngai kơhlôh kơwao
Cũng như cột viên đá vào cái nỏ,Thoi tah tơmo lăm hră tơ'bla
"Châm ngôn trong miệng kẻ ngu dại,",Nơ̆r pơđơ̆k lăm 'bơ̆r lu bơngai kơtul kơwao
Như cái gai đâm vào tay kẻ say rượu,Thoi jơla trŏ ti bơngai suai sik
"Ai mướn một kẻ ngu dại và khách qua đường,",Bơngai bu mưng bơngai kơtul kơwao păng bơngai tơmoi rok trong
Cũng như một người bắn cung gây thương tích mọi người,Thoi minh 'nu bơngai prah hră 'bơm lơ bơngai rơka
"Kẻ ngu dại lặp lại điều ngu xuẩn mình,",Lu bơngai kơhlôh pơm pơlơ̆k ming tơdrong kơtul sư
Khác nào chó ăn lại đồ nó mửa ra,Thoi kŏ hăk boih sa dơ̆ng
Con có thấy một người tự cho mình khôn ngoan theo mắt mình không,"Ih hăm 'bôh minh 'nu bơngai khan kơ sư kơdih bơngai hlôh wao,"
Kẻ ngu còn có hy vọng hơn người đó,Bơngai kơtul bơlŭk oei đei hơmĕng hloh kơ sư
"Kẻ lười biếng nói có con sư tử ở ngoài đường,",Bơngai hơlah khan đei dăm-brang tơ trong
Sư tử ở giữa phố,Đei minh pôm dăm-brang tơ rok trong pơlei to
Kẻ lười biếng chôn tay mình trong đĩa;,"Bơngai hơlah chro ti lăm pơnhan,"
Nó quá mệt mỏi để đưa tay mình lên miệng,Kŭm hơnat pat pơmat dêh wă tah tơ lăm 'bơ̆r
"Kẻ lười biếng cho mình khôn ngoan,","Bơngai hơlah khan sư hlôh wao,"
Hơn cả bảy người biết đối đáp thận trọng,Hloh mă đei tơpơh 'nu tơl lăp kư̆m tim mă tam sư
"Người nào đi qua đường mà xen vào chuyện cãi cọ không liên hệ đến mình,",Bơngai bu yak rok trong drong mơ̆t tơhil tơdrong noh ưh kơ 'bơm sư
Giống như nắm tai con chó,Thoi bơngai mă pet wĕnh đon kŏ
"Như người điên bắn than lửa,","Thoi bơngai wơnh prah ngar ŭnh ngŭr,"
Mũi tên và sự chết,'Brơ̆m păng tơdrong lôch
Người nào lừa gạt kẻ láng giềng mình rồi lại nói:,"Bơngai bu hơlĕnh sơlam kơ rông 'bôt sư, păng khan:"
Tôi chỉ đùa thôi thì cũng như vậy,Inh hơnul đĕch măi
"Lời của kẻ mách lẻo như miếng bánh ngon,",Nơ̆r lu bơngai sơlam hơlĕnh 'ngam thoi tơmam sa 'lơ̆ng
Thấm vào tận lòng dạ,Mơ̆t jrŭ truh tơ klơm tơ klak
"Môi miệng vồn vã nhưng tấm lòng gian ác,","'Bơ̆r pơma 'lơ̆ng, mă-lei đơ̆ng lăm jơhngơ̆m kơnê̆,"
Khác nào cặn bạc tráng bình đất,Thoi ge gŏ teh đe pik hu gah 'nguaih
"Kẻ ghen ghét giả vờ ngoài môi miệng,","Bơngai bu hil areh, pơm 'brach gah 'nguaih praih pơrŏ"
Nhưng trong lòng mưu sự lừa đảo,Lăm jơhngơ̆m hơ-ơ̆m oei răk tơdrong kơnê̆
"Khi nó nói ngon ngọt, đừng tin,",Tơdah sư pơma 'ngam 'nĕ kơ lui kơ sư
Vì lòng nó có bảy điều ghê tởm,Yua kơ sư đei tơpơh tŏ tơdrong kơnê̆ krưp lăm jơhngơ̆m
"Dù ghen ghét thường được che giấu bằng lừa đảo,","Mă sư ôn hlơp tơdrong hil chă pơm pơrŏ,"
Sự gian ác nó sẽ bị tỏ bày nơi hội chúng,Tơdrong trŏ khĕnh hơwĕng sư gô lĕch tơ tơpôl 'bôh
Kẻ đào hố sẽ sụp xuống hố;,"Bu sir sơlŭng sư gô huŏng tơ lăm noh,"
Lưỡi dối trá ghét những kẻ nó chà đạp;,Hơpiĕt hơlĕnh areh lu bơngai sư pơjuă;
Miệng nịnh hót gây ra hủy hoại,Mă 'bơ̆r lu sư pơma pơkă wă pơrăm
"Chớ khoe khoang về ngày mai,","'Nĕ pơư kơ năr dơning,"
Vì con không biết ngày mai có điều gì sẽ xảy ra,Yua kơ ih ưh kơ băt năr dơning sư jing liơ
"Hãy để người khác khen con, chứ không phải miệng con;","Lê̆ kơ đe pơư kơ ih, kơdih akâu ih 'nĕ kơ pơma 'bơm"
Hãy để người ngoài khen con chứ không phải môi con,"Lê̆ kơ đe pơư pơma, tơ'ngla ih 'nĕ yua 'bơ̆r ih kơdih ôh"
"Đá thì nặng, cát cũng nặng,","Tơmo trăp, chuơh kư̆m trăp,"
Nhưng sự khiêu khích của kẻ ngu dại còn nặng hơn cả hai,Mă-lei đei pơdrŭt lu bơngai kơtul kơwao noh trăp hloh kơ 'bar noh
"Thương tổn do người thương mình gây ra,","Buăl juăt pơjĭ bơ̆n rơka, noh 'lơ̆ng đơ̆ng jơhngơ̆m tơpăt"
Còn đáng tin hơn vô số cái hôn của kẻ thù ghét mình,Bơngai ayăt hil chŭm hơlêm khan 'mêm noh hơlĕnh
"Kẻ no nê chà đạp mật ong,",Lu bơngai phĭ đĭ kuă pơjuă lê̆ kơ̆l hơkoh sut tơ ala jơ̆ng
Nhưng đối với kẻ đói khát thì vật đắng cũng thành ngọt ngào,Mă-lei lu bơngai pơngot mă sa tăng lăng thoi 'ngam
Kẻ lưu lạc xa quê hương,"Bơngai thông mang huang ataih đơ̆ng hnam sư,"
Như chim lạc xa tổ,Thoi sem păr ataih đơ̆ng tơpu sư
Dầu và hương thơm làm lòng người vui vẻ;,Tơmam 'bâu phu păng pơgang 'bâu phu pik pơm kơ jơhngơ̆m hiôk chơt
Lời khuyên ngọt ngào của tình bạn quý hơn lời tư vấn cho mình,Nơ̆r pơlung đơ̆ng lu bôl buăl kư̆m hiôk chhơp thoi noh
Đừng từ bỏ bạn con hay bạn của cha con;,"'Nĕ kơ achăng bôl buăl ih dah buăl juăt 'bă ih,"
Đừng đến nhà bà con mình trong ngày hoạn nạn;,"'Nĕ kơ năm tơ hnam 'nhŏng oh năr ih đei tơdrong gleh pơmat,"
Người láng giềng gần tốt hơn là anh em ở xa,Bơngai rông 'bôt ih noh 'lơ̆ng hloh kơ 'nhŏng oei ataih
"Hỡi con ta, hãy khôn ngoan và làm cho lòng ta vui vẻ,","Ơ dăm, mă gơh hơgei, lei na pơm pơhiôk jơhngơ̆m inh,"
Để ta có thể trả lời kẻ chỉ trích ta,Wă kơ gơh tơl tơwih kơ bơngai mă pơm kơ inh mơlâu
Người khôn ngoan thấy tai họa nên ẩn trốn;,Bơngai gơh hơgei đei tơdrong gleh băt weh ôn
Kẻ ngu dại cứ tiến tới và bị họa,"Bơngai kơtul kơwao kư̆ năm tơ anăp, răp pŭ răm"
Hãy lấy áo kẻ bảo lãnh cho người lạ;,Rôp pơkơ̆ng hơbĕn ao đơ̆ng sư pơkă wă pơkăm kơ bơngai tơmoi;
Hãy giữ nó làm bảo đảm vì nó bảo lãnh cho người đàn bà lạ,Sư athei đei tơmam pơdơ̆ng đơ̆ng nơ̆r sư pơkă wă pơkăm kơ drŏ-kăn đi
"Nếu một người vào sáng sớm lớn tiếng chúc lành người hàng xóm,",Bu iung đơ̆ng hrôih drôih sơkat pŭn hiôk kơ rông 'bôt sư hăm nơ̆r re ôr
Lời chúc bị coi như lời rủa,Nơ̆r noh đe jô̆ nơ̆r hiap pơtê̆
"Một người đàn bà hay cãi cọ,","Hngăt lĕch ling-lang năr 'mi tih,"
Giống như những giọt nước chảy rả rích trong ngày mưa,Thoi bơngai drŏ-kăn mơkoh noh tơhil ling-lang
Ai muốn kiềm chế nàng như bắt giữ gió lại;,"Bu wă khă sư, thoi khă kial,"
Và như lấy tay phải chứa đựng dầu,Kŭm thoi tơpang ti 'ma rôp kơđôp rơmă
Một người rèn luyện nhân cách người lân cận,"Bơsei pat bơsei suĕng,"
Giống như sắt mài bén sắt,Kŭm thoi bơngai pat pơhrăm buăl sư
Ai chăm sóc cây vả sẽ ăn trái vả;,"Bơngai bu bơwei tơm hơra, gô sa plei sư;"
Người phục vụ chủ mình sẽ được trọng đãi,"Bu chu bơwei yŏng sư, đe gô pơyom"
"Lòng người phản ánh con người,",Lăng muh măt lăm đak 'bôh thoi yơ
Giống như mặt một người phản chiếu trong nước,Jơhngơ̆m bơngai kư̆m tơ'bôh thoi noh mơ̆n
Âm phủ và sự hủy diệt không bao giờ thỏa mãn;,Măt kon bơngai lăng ưh kơ đei layơ bơ̆l hăl
Con mắt loài người cũng vậy,Dêh atâu păng lôch răm ưh kơ đei layơ hrăp
"Lò luyện kim để thử bạc, lò lửa để thử vàng;","Anih 'buh hu wă rơgoh, tơnuh ŭnh soh maih wă kơ hlăng;"
Một người được thử bằng lời khen ngợi,Mă-lei đe lăng jơhngơ̆m bơngai thoi đe bơnê kơ sư noh
Hãy biết rõ tình trạng bầy chiên của con;,"Ih lăng băt kơnăl kơ triu ih sư thoi yơ,"
Hãy chú tâm vào đàn bò của con,Păng bơwei lu khŭl rơmo ih mă 'lơ̆ng
Vì giàu có không tồn tại mãi mãi,"Tơdrong mơdrŏng ưh kơ đei oei ling-lang ôh,"
Và mão triều không còn lại đời đời,Mă jing pơtao kư̆m ưh kơ ling-lang mơ̆n
"Khi cỏ khô biến mất, cỏ mới mọc lên;","'Nhĕt kro hiong đĭ, 'nhĕt hơdrih bluh plơ̆ng,"
Rau cỏ trên núi được thu nhặt lại,'Nhĕt 'nhot lăm bri kông đe phĕ broch akŭm
Chiên của con sẽ cung cấp quần áo cho con;,"Sŏk triu pơm hơbĕn ao tai ih hrŭk,"
Dê đực sẽ là giá đám ruộng,Bơbe bram tĕch pơm tơmam răt chŭn mir
Kẻ ác bỏ chạy dù không ai đuổi;,Lu bơngai pơm kơnê̆ kơdâu ôn mă ưh kơ đei bu druh
Còn người công chính tự tin như con sư tử,Mă-lei lu bơngai oei arih tơpăt nuih thoi dăm-brang
Một nước loạn lạc có nhiều người lãnh đạo;,"Dêh char pơm kơnê̆, na đei lơ lu bơngai pơgơ̆r;"
"Nhưng nhờ một người sáng suốt và hiểu biết, nước được bền vững lâu dài",Mă-lei bơngai hlôh wao na pơgơ̆r dêh char gei oei kơjăp đunh
"Người cai trị độc ác áp bức người cùng khốn,",Bơngai dơnuh pơgŏ pơđep bơngai pơmat-tat
Khác nào trận mưa lớn không đem lại mùa màng,Nhen thoi đak 'mi tih pơhoch đĭ 'ba hơ'bo
Người từ bỏ Kinh Luật khen ngợi kẻ ác;,Bơngai achăng lê̆ khôi juăt hăt bơnê kơ bơngai pơm kơnê̆;
Còn người tuân giữ Kinh Luật chống lại chúng,Mă-lei đei bơngai kiơ̆ khôi juăt tơblah hăm lu sư
Người gian ác không hiểu sự công bình;,Bơngai pơm kơnê̆ đê̆ pă băt tơdrong tơpăt;
Còn người tìm kiếm CHÚA hiểu biết tất cả,Mă-lei đei bơngai bu băt chă Kră Yang na băt hlôh đĭ-đăng
Thà nghèo nhưng sống ngay thẳng,Kơtrơ̆m dơnuh hoh oei sa tơpăt
Hơn là giàu có theo đường lối gian tà,'Lơ̆ng hloh kơ mơdrŏng nŏng kiơ̆ tơdrong hơlĕnh pơdăr
Ai tuân giữ Kinh Luật là đứa con sáng suốt;,Bu wei răk khôi juăt noh kon drŏ-nglo bơngai hơgei;
Còn kết bạn với kẻ tham ăn uống làm nhục cha mình,Gah bu pơm juăt hăm lu bơngai sa dư noh wă pơm kơ 'bă sư mơlâu
Người nào làm giàu nhờ cho vay nặng lãi,Bơngai bu pơm kơ mơdrŏng rai tŏk iŏk đơ̆ng sa kiĕng lơ
Tức là thu góp của cải cho người có lòng thương xót người nghèo,Jên kăk răt pơpôi ăn kơ bơngai băt mơnat kơ lu dơnuh hin
"Người nào ngoảnh tai không nghe theo Kinh Luật,",Bơngai bu ưh kơ wă kuă pơgling đon mơ̆ng kiơ̆ khôi juăt
Lời cầu nguyện của người ấy cũng là sự gớm ghiếc,Nơ̆r krao apinh sư Kră Yang areh krưp
Ai dẫn kẻ ngay thẳng vào đường ác,Bơngai bu ba lu bơngai tơpăt kiơ̆ trong kơnê̆
Sẽ rơi vào hố của chính mình;,Gô huŏng lăm sơlŭng đêl lu sư sir;
Nhưng người vô tội sẽ thừa hưởng phúc lành,Mă-lei đei tơdrong pŭn hiôk kơ lu bơngai 'lơ̆ng tơpăt
"Người giàu tự cho mình khôn ngoan,",Bơngai mơdrŏng dŏng kơdih akâu khan bơngai hơgei
Nhưng một người nghèo sáng suốt thấy rõ người,Mă-lei đei bơngai dơnuh hlôh 'bôh đĭ bơngai noh
"Khi người công chính chiến thắng, có nhiều vinh hiển;","Tơdah bơngai tơpăt jei jơnei, đei hiôk chơt tih;"
"Nhưng khi kẻ ác nổi lên, người ta đi ẩn trốn",Mă-lei đei bơngai pơm kơnê̆ iung lei đei bơngai kơdâu ôn
"Ai che giấu sự vi phạm mình sẽ không được thịnh vượng,",Bơngai bu ôn tơdrong yoch sư ưh kơ đei pŭn hiôk;
Nhưng người nào xưng ra và từ bỏ nó sẽ được thương xót,Mă-lei đei bu tơbral păng achăng lê̆ sư gô đei mơnat
Phước cho người nào luôn luôn kính sợ Chúa;,Bơngai bu băt hli yom kơ Kră Yang gô đei pŭn hiôk;
Nhưng kẻ có lòng chai đá sẽ rơi vào tai họa,Bơngai bu ưh kơ chu arăng kơ̆l gô răm
"Kẻ ác cai trị dân nghèo,",Bơngai kơnê̆ pơgơ̆r kon pơlei dơnuh hin;
"Giống như sư tử gầm rống, như gấu rượt mồi",Nhen thoi dăm-brang grĕnh gơhuh nhen thoi chơgơu druh sem bri wă rôp sa
Kẻ cai trị thiếu hiểu biết cũng lắm bạo tàn;,Yŏng pơgơ̆r kơhlôh ngăl pơjuă pơđep
Người ghét lợi bất chính sẽ sống lâu,Mă-lei dah đei bu areh kơ sa lơi lơ gô arih sot
"Nếu người nào mang nợ máu của một sinh mạng,","Bơngai bu tuh pham pơlôch đe,"
"Hãy để hắn làm kẻ trốn tránh cho đến chết,",lê̆ sư kơdâu ôn truh tơ lôch;
Đừng có ai giúp đỡ nó,'nĕ ăn bu tơgŭm sư
Người nào bước đi ngay thẳng sẽ được giải cứu;,Bơngai bu oei arih sa 'lơ̆ng tơpăt gô đei dŏng pơklaih;
Kẻ theo đường lối gian tà sẽ sa ngã thình lình,Bơngai bu kiơ̆ trong đŏng gô huŏng ưh kơ tam băt
"Người nào cày ruộng mình sẽ được đầy thực phẩm,",Bơngai bu choh mir 'ba gô đei sa rơkah rơkai
Nhưng kẻ theo đuổi hư không sẽ bị nghèo khó,Bơngai bu hơlah noh gô hoh răm
"Người trung tín được nhiều phước lành,",Bơngai tơpăt gô đei pŭn hiôk lơ;
Còn kẻ vội làm giàu ắt sẽ không tránh khỏi hình phạt,Bơngai bu hăt chă mơdrŏng pă jor gô phak pơmat
"Thiên vị là điều không tốt,",Mơ̆t dŏng đe noh ưh kơ 'lơ̆ng
Nhưng vì một miếng bánh người ta có thể làm điều trái,Mă đơ̆ng minh pôm 'bĕng mi ră mă-lei gô pơm glăi
"Người có mắt gian chạy theo giàu có,","Bơngai bu kret ham, pơnam chă wă kơ mơdrŏng,"
Nhưng người không biết rằng sự mất mát sẽ đến,Gah rŏng ưh kơ băt tơdrong kơ'bah gô truh kơ sư
Kẻ nào ăn cắp của cha mẹ rồi nói rằng,"Bơngai bu tơtông đơ̆ng mĕ 'bă sư,"
"Ấy không phải là tội,","păng khan: “Ưh kơ pơm yoch ôh,”"
Kẻ ấy là bạn của kẻ phá hoại,Bơngai noh buăl juăt lu đe wă chă pơrăm
"Kẻ tham lam gây ra tranh cãi,",Bơngai bu đei jơhngơ̆m ham chă sơlam pơdrŭt đe tơhil băl
Nhưng người nào tin cậy CHÚA sẽ được thịnh vượng,Mă-lei bơngai bu băt gơnang kơ Kră Yang gô phĭ jơnap
"Kẻ tin cậy nơi lòng mình là kẻ ngu dại,",Bơngai bu gơnang kơ akâu kơdih gô jing bơlŭk
Nhưng ai bước đi theo sự khôn ngoan sẽ được an toàn,Mă-lei đei bu yak kiơ̆ trong gơh hơgei gô đei hiôk hơđơ̆ng
"Người nào ban cho người nghèo sẽ không thiếu thốn,",Bơngai bu asong ăn kơ bơngai dơnuh hin ưh kơ kơ'bah ôh
Nhưng ai nhắm mắt làm ngơ sẽ gặp nhiều rủa sả,Mă-lei bơngai bu ưh kơ băt mơnat gô đei đe blei hiap
"Khi kẻ ác hưng thịnh người ta đi trốn,","Layơ tơdah lu bơngai kơnê̆ iung pơgơ̆r, đe kơdâu ôn đĭ,"
"Nhưng khi chúng bị hủy diệt, người công chính sẽ gia tăng","Mă-lei dah lu sư lôch, lu bơngai tơpăt jing rai lơ"
Khi người công chính gia tăng dân chúng vui mừng;,"Mưh bơngai tơpăt rai lơ, kon pơlei đei chơt hiôk;"
"Nhưng khi kẻ ác cai trị, dân chúng than thở","Mă-lei dah đei bơngai kơnê̆ pơgơ̆r, kon pơlei đei ôr krao"
Người nào yêu thích sự khôn ngoan làm cho cha mình vui mừng;,"Bơngai bu chă tơdrong gơh hơgei lei 'bă sư đei chơt hiôk,"
Nhưng kẻ kết bạn với phường đĩ điếm phá hoại của cải,Bơngai bu ngôi hăm bơngai đi gô pơrăm mŭk tơmam sư
"Nhờ công bình, vua làm cho đất nước bền vững;",Đơ̆ng tơdrong tơpăt pơtao băt wei dêh char sư kơjăp;
Nhưng kẻ tham nhũng hủy hoại quốc gia,Mă-lei bơngai sa pơgâm pơgô̆ gô pơrăm char sư
"Kẻ nào nịnh hót người láng giềng,","Bơngai bu hơlĕnh pơhlom kơ rông 'bôt sư,"
